id_centros_educacion,centros_educacion
KHB0I,oakland avenue charter school
X8VFI,myra terwilliger elementary school
QGVJN,villas elementary school
KTRMZ,county road 23b
AP59Y,saint johns river state college
YSJZR,southport elementary school
411KM,key largo elementary school
CCEZZ,osceola middle school
4Z8XM,discovery intermediate school
687WS,lee jackson highway
E6HE7,poinciana academy of fine arts
JFNHP,kylea laird drive
MCV9P,main building 500
5T4WO,main building 1000
69ZD7,main building 800
FJOQF,main building 900
VOZJL,main building 700
8YMN9,main building 600
GAN6P,cougar path
W0SLY,governor's charter academy
13D0O,softball field
39G13,student drop off
QC62Q,gladeview school
67LIT,ocean breeze elementary school
OZRNZ,main access loop
513BR,gemini elementary school
CQ12U,mossy head elementary school
IGVVL,moore haven junior-senior high school
54Q4E,moore haven elementary school
CVD52,dr. rolando espinosa k-8 center
A9OXN,new hope christian school / calvary christian academy west campus
IY7CU,university of phoenix
UKBX5,buchholz high school
2L3CT,c w norton elementary school
TLZHM,fort clarke middle school
QF8XO,glen springs elementary school
PH2AM,hidden oak elementary school
QL5XV,lawton m chiles elementary school
8E1R8,william s talbot elementary school
IK7W8,southwest 8th street
CZFQY,central elementary school
UVTI5,calvin hunsinger school
V5Z62,sandy lane elementary school
VVZYG,campbell park elementary school
N28FP,seminole middle school
PO20I,seminole high school
QUXTO,carwise middle school
9OVQK,clearwater high school
TSH6R,hobe sound elementary school
NO2WP,jupiter farms elementary school
E24X2,the pine school
FQ7ZA,village green elementary school
I7NRU,lost lake elementary school
ATZG7,pine ridge elementary school
8BCPZ,the benjamin school
KMNGC,marion s rodgers middle school
8ZORT,east hill baptist church
Y60CO,ransom everglades middle school
17Z94,west port high school
E3A3D,croton elementary school
8ZA4P,lake marion creek school
A9QOS,doris ross reddick elementary school
P7MR6,barrington stowers drive
8O462,osprey park place
J7O3O,boyette springs elementary school
NHKYU,cimino elementary school
EJ47H,cypress creek elementary school
ESSMD,shields middle school
8WZHC,terrell sessums elementary school
XSJNX,lindsey hopkins technical college
NO2PG,micanopy area cooperative school
H436W,cedar key school
M4SFV,matter academy
GU3LT,university of florida hastings agricultural extension
YKYAL,bethune-cookman college extension
QY71E,keene's crossing elementary school
VY86H,2750
8CP4P,windy hill middle school
QYCMS,saint cloud high school
T2STV,lakeview elementary school
3YEDI,homestead senior high school
0MAGI,william a chapman elementary school
0B5MK,florida city elementary school
W3RGA,laura c saunders elementary school
7Y8WR,tynes elementary school
1H9G1,doctors inlet elementary school
1EP6E,swimming pen creek elementary
4ZU0I,south hamilton elementary school
WE35G,dillard street elementary school
61YGO,lakeview middle school
IIZ5X,collins elementary school
BRFCF,denn john middle school
TU683,gateway high school
20881,valencia college
9OLOL,lorenzo walker technical college
L2G3R,chestnut elementary school
P7Y1J,liberty high school
73Z0Q,palmetto elementary school
HQXGQ,sandhill elementary school
YZZ1G,deerwood elementary school
Y2IAV,horizon middle school
GYT3R,koa elementary school
14X3S,poinciana high school
12RZ2,reedy creek elementary school
X0FRZ,sunrise elementary school
QFQ26,mason's school of music
GG0N1,fleming island elementary school
FOFZE,clay hill elementary school
8DFPK,j.l. wilkinson elementary school
8URVD,j.l. wilkinson junior high school
HVY4U,middleburg elementary school
VZO3F,orange park elementary school
3FMG8,rm paterson elementary school
OC9ZO,rideout elementary school
EFXHO,thunderbolt elementary school
03B7V,the rock of gainesville
B6BOV,lake shore middle school
SSEIY,southwest 16th street
W03WZ,glades central community high school
C2QYX,forest lake drive south
KGY6Z,red cox drive
ZIFHN,the king's academy
B17TT,north goodman road
VQ632,ridgeview middle school
XR14T,crossroads academy charter school
GDYZP,land o' lakes education complex
QKQKV,connerton elementary school
ZLZZS,longleaf elementary school
X33DM,palmetto elementary school
048HW,pine crest preparatory school
1MEPE,stone middle school
B87AC,okeechobee high school
AZ1CB,university high school
N52OM,river springs middle school
KWU26,manatee cove elementary school
X6O8R,university high school
J7KUI,bayside high school
Q35UM,lincoln memorial middle school
JGR96,florida atlantic university /broward college davie campus
Q68O9,adams street
GKRF8,berkley accelerated middle school
0L4B3,berkley elementary school
BG9II,south new york avenue
R7DZW,rosabelle w. blake academy
NYXFZ,thompson elementary school
54MU2,plumora school
39CEQ,combee school
WC9TN,nova southeastern university
9K67U,lake wales high school
D81TL,spook hill elementary
VCO7H,hillcrest elementary school
MLWEW,polk avenue elementary school
CS9XQ,babson park elementary school
C14FK,mclaughlin middle school
X46YJ,clearwater's independent school
MSJX4,agribusiness and adult education center
Y5IPV,w travis lofton high school
KL216,oak hall school
P16IU,saint david catholic school
X7AWN,skyway elementary school
HG1N4,american senior high school
WTG26,springwood elementary school
HIOZF,melrose park school
OL0Y8,summers elementary school
FC8SC,niblack elementary school
C9SJ3,columbia high school
7QGD7,eastside elementary school
0DNBN,lake city middle school
X1MJU,celebration school
2SDLN,walden lake elementary school
7FHVG,trapnell elementary school
DKEN2,trilogy school
LDZIE,westwood middle school
0MMAS,branford elementary school
EYZH2,branford high school
5GE10,university of north florida
VTXIU,wright elementary school
DAW2A,collins elementary school
24ADG,limona elementary school
UWTPH,gordon burnett middle school
YIC3I,springhead elementary school
3VWJL,south evers street
ZZ4U6,lincoln international baccalaureate elementary magnet school for international studies
JA0PK,edward jackson marshall middle school
FR8DO,woodrow wilson elementary school
5Z3IY,andrew jackson elementary school
MIXT5,knights elementary school
5HNLA,william jennings bryan elementary school
FFJAK,tomlin middle school
OU29B,cork elementary school
N8YYK,dixieland school
HZUSJ,james w sikes elementary school
LT5Y5,kingsford elementary school
CRDDY,purcell elementary school
DMX7V,r. bruce wagner elementary
6HY9F,mulberry middle school
0QF50,mulberry senior high school
NB3EJ,scott lake elementary school
7RSG3,drivers education route
D1DKO,advantage academy of hillsborough county
605HW,simmons career center school
VO8BU,indiantown middle school
7YJRZ,pace mill way
6ESE0,valrico elementaryschool
45QLI,buckhorn elementary school
VTE3T,gulf coast state college north bay campus
WSDK9,gulf coast state college - gulf/franklin campus
C1PSO,sunrise elementary school
9XRLM,heritage middle school
MJL79,buck lake elementary
4ZIP7,concorde career institute - jacksonville
YZBZA,pahokee junior-senior high school
M9B3M,ron and norita davis center
IPTQH,howard w bishop middle school
OA0C4,w a metcalfe elementary school
OCHM1,chandler street
R793L,santa fe college downtown campus
HBWB7,carolyn beatrice parker elementary
B7UUA,atlantic coast high school
H19QP,chet's creek elementary school
EPH9R,chet's creek elementary school
ESH1V,chet's creek elementary school
79YXC,chet's creek elementary school
OFSYR,chet's creek elementary school
IGBWL,j. allen axson elementary school
2UZNB,the foundation academy
1CWPN,robert f munroe day school - kindergarten
LKNNI,old town elementary
DDAZ9,sidney lanier center
YVO66,dolphin park high school
OEUYY,jacksonville beach elementary
FQHKQ,102
1LLTH,cypress lake middle/high school
XMWGL,cypress lake middle/high school
WVA8K,normandy school
RM5RH,heights elementary school
SYN74,lexington middle school
E89U0,saint patrick's preschool
9FLXD,veterans park academy for the arts
T6AYE,lehigh acres middle school
TTSYK,galaxy school
THTK9,our pride school
4E0PP,gulliver academy
SYVP4,everglades preparatory academy
TMYCM,urbe university
91LHD,kernan middle school
66XA3,kernan trail elementary
HFZ46,seffner elementary school
3LJN4,southwest ocala way
61W8L,8600
WWVJQ,fienberg fisher adult school
VLZXJ,1420
OB3R6,chain of lakes elementary
Z0RLD,florida southwestern state college - charlotte campus
NPRN7,ruth rains middle school
8EHLZ,james anderson elementary school
2GY36,dixie county high school
O5E4R,seventh-day adventist church school
OGMN8,saint pauls school
U0A50,spruce creek high school
W4F7F,emma e. booker elementary school
KJE8D,first baptist church day care/kindergarten
4K8ZW,heathrow elementary school
PCS7M,markham woods middle school
84CE5,warfield elementary school
KJBCO,penman road
DWEHX,englewood elementary school
P2KLJ,englewood high school
7PT89,keiser university
Y4GZ8,greenfield elementary school
LFZSV,2948
JLDBL,saint edward's school
15XO2,vero beach high school
AHJO0,devry university
0CTEH,village academy
BLPHH,carver middle school
UI52J,braden river elementary school
1M5D9,braden river middle school
MTNJ3,the beaches school
L7RAC,miami lakes middle school
EWQZH,2002
88HRN,alimacani elementary school
XDIM4,renaissance charter school at coral springs
WQHQW,moseley elementary school
NSJ9M,mellon elementary school
CK1Q1,northwest 112th street
51VAR,norcrest elementary school
B3HH2,northwest florida state college
1BZGJ,joseph finegan elementary school
GAFYS,mayport elementary
E5B1K,palmer street
A2SUW,bluewater elementary school
BNDX4,tallahassee school of arts and science
MH97D,apopka memorial middle school
N4VXP,bear lake elementary school
BYHXL,dream lake elementary school
FTL12,forest city elementary school
MWD4F,lake brantley high school
1CASF,2400
T00MG,sabal point elementary school
4SLZ3,wekiva elementary school
V20DV,wilson elementary school
8ROF2,landmark middle school
9D75T,sabal palm elementary school
JIWJ8,lake osprey drive
RBBOP,brentwood elementary school
9Y8BN,gotha middle school
P3IC2,north lakeland elementary school
LB58N,southwest 25th street
KRTIH,ochwilla elementary school
8H14N,southwest 4th street
S1HMD,riverside school
NDX9Y,cypress springs elementary school
UE0AJ,vista lakes elementary school
6A9B7,odyssey middle school
BNYD0,wauchula elementary school
9GLOC,grady elementary school
W0ILV,atlantic christian academy
VW6WH,nautilus middle school
WFPEQ,north beach elementary school
JEXB7,gulf beaches elementary school
MOQCX,fuguitt elementary school
X59U7,yeshiva toras chaim
MVH7H,broward college
VQXZ5,hans christian anderson elementary school
LVKQC,dr. manuel c. barreiro elementary school early childhood center
MUWDK,coral gables senior high school
Z9YKR,university of central florida lake nona campus
4JMHX,old dixie highway
R117W,joseph stilwell school ground
YOOJV,epicenter at saint petersburg college
8MYJI,sunland park elementary school
PN0L4,windermere high school
TLXQ1,lafayette high school
1SJRK,lafayette elementary school
NVOUD,north johnson stripling road
QGLZI,pelican island elementary school
59MBK,shore acres elementary school
6OASL,ransom everglades school
OP6BH,locklin technical center
3IIZM,bay street northeast
T6KGN,saint ann catholic school
E91YL,rosarian academy
OA5NJ,saint juliana catholic school
L63HL,palm beach atlantic university
YTJQI,norwood school
VRZGL,southeast 17th street
9G0U4,the benjamin school
K33U5,millennia gardens elementary school
UCEBK,bradford high school
D0KLP,anclote high school
KSLIN,paul r. smith middle school
4XVO8,one room middle school
AHDVN,countryside high school
8NJWV,cross bayou elementary school
KI2Q9,marjorie k rawlings elementary school
LXUIF,stephen foster elementary school
YY941,long branch elementary school
HQ8EZ,cypress creek elementary school
MNWXR,creekside middle school
TVV8V,wewahitchka elementary school
4FDEV,citrus elementary school
KGSI4,horizon elementary school
18MN9,medulla elementary school
6GG17,saint paul lutheran school
IH8PU,sweetwater elementary school
I11C5,atlantic high school
76FDI,sugar mills elementary
0FKF9,600
DE85X,port orange elementary school
BGQ2I,silver sands middle school
OAHHT,spruce creek elementary school
O3N81,warner christian academy
JX939,tommie barfield elementary school
8I3ZM,ormond beach elementary school
VSQY7,daytona college
AZB61,roadman school
XK2ZP,lakeland highlands junior high school
USDTH,saint agnes church and school
YBCTP,pine ridge high school
9CFB1,pride elementary school
ZHKWV,pivot charter school
8AM2A,rochelle school of the arts
6A23Q,palm terrace elementary school
9GFH7,fsu coastal & marine lab
2TPM6,palmer college of chiropractic
3UZ4C,clearwater central catholic high school
RAMVK,doby elementary school
8E9KQ,ruskin elementary school
A6K1J,summerfield elementary school
YNIWN,lawley elementary school
QY5PK,schall way
MSV2G,clemmie ross james elementary school
EFG9S,williams ib myp middle magnet school
W6NP1,gary adult high school
XQ3DX,lake weir high school
AD6Y7,oak road
6ZCW4,florida college academy
K3Z26,gabrielle's glen pre school
UBUBL,big cypress elementary
17D8B,a quinn jones center
IX3LP,nova southeastern university oceanographic center
6UDOJ,narcoossee elementary school
S3FCD,wilkonson elementary school
AE56G,lake view elementary
7CO29,oak park school
1MY55,ashton elementary school
0BC8X,sarasota christian
Q4H18,saint martha's catholic school
X9AVE,joseph williams elementary school
BGUMV,abraham lincoln middle school
1E82S,eastside high school
4AEHY,sarasota school for innovative studies
XOWI1,incarnation school
6I6JG,charles w duval elementary school
BASCX,idylwild elementary school
DOSC4,dow brewer elementary school
MKAT8,key west high school
FYUOB,gilmore street
2C282,west riverside school
QGD05,merrill road elementary school
Z8EUE,center montessori school
RVAWV,southwest 34th street
ZMDZW,poinciana elementary school
27TDF,horace o'bryant middle school
ZHZF8,mary sands alternative school
0XUTH,a. philip randolph career academies
J8NLB,lake minneola high school
HTSVM,grassy lake elementary school
7EENJ,gulfview middle school
7NKWS,saint ann school
QB8BN,charger acadamy
JOGII,oak hill elementary school
R4BTK,palm bay high school
D4HDA,okaloosa stemm academy
0WQVK,berean baptist church and school
PKRCX,northwest 115th terrace
A0D0Y,mill creek academy
4SU14,pacetti bay middle school
10CCA,wards creek elementary school
0X76F,polk state college
FJFZ9,university of florida beef research unit
478S8,saint johns river college
D1VQL,saint johns river college
I654N,frank h. peterson academies of technology
97DZR,gregory drive elementary school
949JD,jacksonville heights elementary school
DZ2Z0,normandy village elementary school
DORO7,sadie t tillis elementary school
OFXIX,school of success academy charter high school
AZAE8,holly hill school
G7AU0,zelda glazer middle school
XYHY5,1220
RDP0U,prairie view elementary school
WVO9Y,doral academy preparatory school
7NA3H,mater academy charter middle/high school
0FDNI,florida national university
NIE06,palmetto ridge high school
9U0CB,corkscrew middle school
O4YT4,mike davis elementary school
TKVUO,college lane
UTHXE,indian river charter high school
P3F0T,pembroke pines charter school - central campus
GNFJU,sigsbee charter elementary school
Q0SMU,benjamin franklin k-8 center
D53AI,crystal lake school
MPK8V,crystal lake middle school
Q8QVS,southeastern university
38G36,meadow park elementary school
HCTRI,rosewood magnet school
L95GG,highlands elementary school
5YMBV,river city science academy
L3HFA,jackson memorial hospital
ZB24N,florida atlantic university - fort lauderdale campus
27TLJ,innovation park
5CH3D,surfside middle school
V8B34,cape coral high school
FPS61,west pines preschool
3KQO4,julia landon college preparatory and leadership development school
TYOP5,seminole state college
QPCV4,all souls catholic school
T0XMQ,holly avenue
LHT4C,goldsboro elementary school
BHTZL,seminole high school
AQMJA,southern technical college
4RFU6,millennium middle school
52GA6,idyllwilde elementary school
RK4FN,wicklow elementary school
RDASZ,seminole science charter school
TBS06,pine crest elementary school
C6ZYZ,liberty christian school
OJPFU,fellsmere elementary school
27Y9C,raymond b. stewart middle school
2L2M9,lake mary preparatory school
0FPYK,palm beach state college at lake worth
3G1BQ,palm beach state college at lake worth
T1C3R,business administration
9EEQE,technical laboratory
3PIP5,shenandoah elementary school
RRNEQ,shenandoah middle school
WR07N,west homestead elementary school
X3RQG,southwest 34th street
C3B4U,tampa bay boulevard school
5YCLP,kissimmee middle school
GVP51,kissimmee elementary school
HLEPE,narcoossee middle school gymnasium
A47B1,thurgood marshall fundamental middle school
EZXPN,saint josephs school
SW1S5,jordan school
R5F28,melrose elementary school
Y9INL,john hopkins middle school
WLSNZ,northwest elementary school
MBLKB,everglades preparatory academy
4G9RB,sergeant paul r. smith middle school
0RSJT,foster elementary school
TMDZG,dickenson elementary school
3K6AK,morgan woods elementary school
M0BHQ,ventura elementary school
JF3B1,seventy-fourth street school
7IRVR,manatee school campus
EH993,curlew creek elementary school
ZT8RB,curlew creek elementary school
S1RZS,lanier elementary school
NF94N,west shore circle
E9QGP,safety harbor middle school
0PLEJ,starkey school
N7CF4,orange grove school
ZZ7CA,plumb school
7T1I2,lift academy
LPQOO,keiser university
S6MIY,rasmussen university
Z9HGY,dunedin highland middle school
6UIPU,dunedin elementary school
AKXP5,oakhurst elementary school
PL977,meadowlawn middle school
Y75AL,northeast high school
ZIKG3,jefferson high school
I0NVZ,north hesperides street
F69NN,nevada avenue
4IBTF,nevada avenue
ARH9K,nevada avenue
0IDY1,learning independence for tomorrow (lift)
LXGWG,royal palm academy
07EXK,royal palm academy
AB6DC,laurel oak elementary school
MZ7JJ,ridgecrest school
OEPAU,leila davis elementary school
55U5C,mcmullen-booth elementary school
KKWQ8,seminole elementary school
6VCQD,oakstead elementary
CO7M5,fort white high school
KS1WV,john f. kennedy middle school
RF3IN,jacobson culinary arts academy
Q74I4,tarpon springs high school
3ILSU,montessori children's school
EWDWQ,westview drive
DQJ2D,bartram springs elementary school
04MJL,north broward preparatory school
KLV08,pines middle school
SGQE4,gannon university
LDUC2,gadsden christian academy
1RT9R,seabreeze high school
91WYQ,south alternative learning center
1570J,west riverside school
3VAQK,venetia elementary school
27X4N,lockmar elementary school
95R89,heritage high school
8UGCA,williston middle high school
9Y7MF,renaissance charter school at summit
BL1WJ,elementary school 2019
R6JL3,coleman middle school
XBJ4U,cypress palm middle school
8ODVG,sabal palm elementary school
TD85I,osceola trail
NIKC1,james e. plew elementary school
G3WAT,forest lake drive south
UBYHQ,round lake elementary
IL2KW,crown point elementary school
BIHV1,ridgewood education complex
63S0R,sorrento elementary school
1TRSU,saint elizabeth ann seaton catholic school
O2ZMF,transportation way
T6T07,saint patrick catholic school
5K1HO,triangle elementary school
G4YLC,reynolds school
8O75H,sea park elementary school
EPP9X,windermere preparatory school
6GDL2,environmental studies center
BIMWE,holy trinity school
2NK1Y,sunridge middle school
EHNEO,grant avenue
J8284,southeastern school of health sciences
2Y1I1,west education path
1MIVV,gibson head start center
7V8SU,college of central florida citrus campus
G26VP,tavernier drive
W418D,oldsmar trail
DW3RB,eustis high school
M9HUL,lake technical center
RDRSX,eustis heights elementary school
652HU,normandy boulevard
38WGI,umatilla high school
LUM4V,umatilla middle school
KIQ1S,g-star school of the arts
A6KDW,hadley commons drive
DADKD,great neck road
HO4LX,somerset academy lakes
HLQ9S,marjory stoneman douglas high school
JSOZZ,oslo middle school
TO7LM,citrus landings boulevard
05WX3,first baptist academy
XDYXP,somerset academy charter highschool
PGDW7,pine trail elementary school
3UZU8,westwood high school
1BR56,chester a moore elementary school
3JNSP,lincoln park academy
BEYN1,francis k sweet elementary school
VVOMN,fort pierce boulevard
GTUF8,john carrol high school
PBVLG,northwest elementary school
HY5QB,pasco hernando state college
8P5MW,lake trafford elementary school
69NX2,sablewood court
48TY0,crestview high school
RV5M2,davidson middle school
V28G7,richbourg school
IX6Z7,northwood elementary school
0TZXF,south side primary school
34PG4,riverside elementary school
A6DM8,shoal river middle school
99MFD,hardee junior high school
12B4S,7440
ILOEY,walker elementary school
8KBMP,lone star road
ZADOU,lone star high school
O95QX,seacoast charter academy
HEQD6,southwest anastasia way
GU8FI,madison county high school
F6QFE,southwest anastasia way
K6M9Z,madison county central school
92UC4,technology drive
HHT9X,trafalgar middle school
H259O,trafalgar elementary school
B9PF6,pineapple cove classical academy at west melbourne
U9PRU,palm beach atlantic university orlando campus
S0CDF,valencia college lane
IL9EM,cheney elementary school
N6QMF,jones college
CTCHU,new smyrna beach high school
TRMC7,ortona elementary school
BVOWX,westside elementary school
KBQZZ,international speedway boulevard
B14VR,turie t small elementary school
EN5M7,campbell middle school
HVX7Y,r j longstreet elementary school
8P01A,indian river elementary school
IFOQA,chisolm elementary school
BFLWP,read-patillo elementary school
EK1TJ,new smyrna beach middle school
EWL0T,atlantic boulevard
M9ML1,100
A2MJ1,1750
B7YMX,9039
MD3KZ,lake forrest prep 400 building
1V3MB,baker school
95LFG,love grove elementary school
5XIKF,ridge technical college
MNQN3,citrus ridge academy
KJFCI,micanopy academy
4GE2G,lincoln avenue school
2XSRF,riveroak technical college
I8S4U,suwannee primary school
1J0F2,suwannee elementary school
F3CAH,suwannee high school
ZLZ5H,byrom street
A7LIL,parkway middle school
0OO50,florida parkway
XJFST,neptune middle school
EKRBL,bradford middle school
3KIXK,west weldon street
KLS08,discovery elementary school
GTJWV,addie r lewis k-8 school
CFLQA,gamble rodgers middle school
Q6T2E,173
TCCTB,edwins elementary school
PD4YY,worley boulevard
HP2OK,mascotte elementary school
8HF42,cecil e gray middle school
CCVDC,groveland elementary school
IXEL3,umatilla elementary school
CL4ZJ,treadway elementary school
SDLCI,eustis high school
KT86I,tavares elementary school
2C1QS,tavares high school
4IE5U,tavares middle school
X1PWD,edge school
3QP6U,antioch elementary school
8X3UM,laurel hill school
1FK1X,nwfsc robert l.f. sikes education center crestview
JDLLQ,olive street academy
QV2QS,central avenue school
LF0KU,tyndall youth center
XDN0T,lakemont avenue
VENUQ,mandarin road
WK3S6,trinity prep lane
3HTTR,nwfsc/uwf ft walton campus
O53PP,bonner elementary school
3EHI6,ormond beach middle school
5NAT4,tomoka elementary school
ZA4XG,david c hinson middle school
5F0AN,champion elementary school
ANHH6,sagemont lower school
WBEY2,carlton palmore elementary school
WF5XJ,2585
A91ET,new gate school
ODLG4,buolevard heights elementary school
DD59V,apollo middle school
S162M,off campus learning center
M2SOY,indian river state college
9TPMZ,fairlawn elementary school
PEPX6,hagerty high school
XZDAV,carillon elementary school
3SQ8G,florine j. abel elementary school
ETKIQ,sara scott harllee middle school
CX5AN,hyde grove early learning center
BMXX0,hyde park school
Z6NA3,west county road 419
563LC,twin rivers boulevard
6IJP0,stenstrom elementary
4R45D,king street
5D9E4,academy avenue
5VGJI,sallie jones elementary school
YE77Z,indian trace
7P2M5,charlotte high school
UZWSO,punta gorda junior high school
HKB1A,henry s west laboratory elementary school
3X213,everglades elementary school
KM3Y4,ballard elementary school
RED3E,riverside high school
17J1W,saint paul's catholic school
LXPC4,hollywood academy of arts and sciences
6HTV3,1198
W8LO8,east chapman road
DUGTQ,lawton avenue
1GE7E,saint theresa catholic school
B3QJC,saint philip's episcopal church and school
L0J4Z,6575
DZQVY,burns middle school grounds
H5FY0,la peptite of miramar
1CQFA,croissant park elementary school
H4KWO,lake placid elementary school
I3PW4,lake placid middle school
Z3X2N,stetson university
XAKZZ,stetson university
412YN,east university avenue
VOMKP,east university avenue
RHBKF,community christian school
H2W9L,lake erie school of dental medicine
YPXPU,franklin county school
TU6BL,liberty pines academy
3T2UI,parker elementary school
VEG0G,cochran boulevard
SLC37,bozeman learning center
L6KXD,oscar patterson elementary school
9BWH6,m. cherry street elementary school
XRA5Z,mowat middle school
U8YW0,bay high school
LJDFT,bay high school
G2OJH,bay high school
PSWA0,hollywood park elementary school
DZQ1A,new renaissance middle school
X997T,northwest 129th avenue
JIWTS,northwest 129th avenue
USYZY,peace river elementary school
6O001,carnaghi arts
9ITU3,8th avenue south
K36NO,j.r. arnold high school
5N10V,west hollywood elementary school
ET20T,deer point elementary school
YYYVV,cedar grove elementary school
3XL43,callaway elementary
BRAGA,hiland park elementary school
UYOGQ,patronis elementary school
NSBOR,northside elementary school
JRBX5,waller elementary school
AOQXD,tommy smith elementary school
4WFQK,thomas jefferson elementary school
M74L2,cypress k-8
2O8Z9,union park elementary school
93JXU,saint johns river state college
K9GNT,14141
TSPMH,tuskawilla road
H40QA,lake howell high school
D0GT1,valley ridge academy
FLLXF,deland senior high school
FOYTU,friendship elementary school
2ARKU,deltona lakes elementary school
VDB8E,bartow elementary school
7TRRH,duval charter school at westside
3ES0Z,frederick douglas head start
Z6RV1,euclid high school
T8EFF,blue lake elementary school
73VGO,john f kennedy middle school
L7DGM,kingsway elementary school
A6A64,citrus grove elementary school
6SLQD,university of tampa east campus
5TVTE,sergeant paul r. smith middle school
AY85Y,george marks elementary school
78SSY,gause academy of leadership and applied technology
UYV6B,trask lane
V0H7I,meadowbrook middle school
SFE7J,ocps academic center for excellence
ZOASW,university high school
0V3AS,miami senior high school
D4FFP,kids community college south campus
VKFWT,escuela 63
TPQD4,atwater elementary school
EYJ5T,c.o.a.s.t. charter school
H4AHW,whitehouse elementary school
WWY33,sawgrass bay elementary
KOF5T,lake-sumter state college - south lake
KWOC9,wakulla center - tallahassee community college
IJG0J,gulf high school
MOXSN,river city science academy
UVRN7,hornets nest road
8FXKA,mandarin oaks elementary school
R57PA,2601
DSEA8,15000
0NER9,norman s. edelcup/sunny isles beach k-8
KDDNR,beauclerc school
7LBWT,franklin academy
5D19D,jefferson elementary school
DELV4,myrtle grove elementary
CRM3D,350
BWP6W,loretto elementary school
ECO1F,sunrise drive
6B272,77th street
4UZ56,kendall square k-8 center
OR02I,9600
03R8R,deep creek elementary school
QWXSM,liberty elementary school
TMWAU,randal middle school
PBIZR,university academy
A02DY,murdock middle school
36A8K,saint stephen catholic school
JYRKO,legacy education alliance
03YBM,crystal river middle school
OHBSM,crystal river high school
87GG8,osceola elementary
PJT71,community school of naples
GOJWT,rosenwald school
7KE59,homosassa elementary school
6NBOI,bexley elementary school
8VV4O,destin middle school
Z7TXS,melbourne central catholic high school
OKPXV,creek road
EVBGW,shinn road
HY2OD,yankeetown school
RBKSA,john snively elementary school
Z99EU,lake shipp elementary school
87HN7,lutz elementary school
YZLRT,okaloosa technical college
JUKH7,spectrum academy
HHTQ4,calvary christian academy
GLCK7,suwannee middle school
UYKAW,betton hills school
N039I,seminole montessori school
P6WD6,port malabar elementary
STO07,vero beach elementary school
LK094,gifford middle school
2QW34,treasure coast technical college
55OQC,alternative center for education
FV9VG,placida road
3TK7D,san jose catholic school
WTX5Z,kings trail school
M72ZM,san jose episcopal day school
5BM63,frostproof elementary school
NB8E2,frostproof ben hill griffin
NGO77,sneads elementary school
GAW4Q,charlotte harbor center
FGGG8,hancock avenue
JVGDT,maclay school
BP468,quest elementary school
8M77O,aurelia m. cole academy
RCV2M,cypress ridge elementary
0QPYH,1198
IHBJJ,glendale elementary school
354LV,fiu student housing quad path
P4GDK,southern aeromedical institute
FRXGG,rockledge high school
TTHB9,coral terrace elementary school
NPJ71,don soffer aventura high school
AXDTI,2020
Z52Z4,saint augustine high school
N4147,the webster school
VOETS,r.j. murray middle school
SRBNW,south fiske boulevard
JKOZJ,san jose elementary school
9P7M8,pasco-hernando state college - west campus
GY3BX,nova southeastern university - tampa bay regional campus
FM8PY,innovation lane
YJ91O,central florida aerosapce academy
L4UYU,woodland middle school
DOU8Z,14750
KKQAY,navigator academy of leadership
9VOIN,tarpon springs middle school
RO9DI,florida technical college - deland campus
SPLUP,orangewood elementary school
9SB1F,ray v potterf elementary school
DU0N6,colonial elementary school
F81SG,tanglewood elementary school
LHSOE,4750
OADVE,riverdale high school
5D0GW,oak hammock middle school
89XZM,orange river elementary school
O3SEL,tice elementary school
E2R1B,littleton elementary school
DAFW8,northeast 12th place
GANOY,island coast high school
2DMUN,bayshore elementary school
CBE6I,julia street
3JT2W,somerset academy
SS3YU,toledo blade elementary school
S9T02,cranberry elementary school
51XIX,lamarque elementary school
6ZU5H,north port high school
FGU0E,heron creek middle school
DBUFS,glenallen elementary school
LKF46,saint anthony's school
O0DRZ,gulfstream academy of hallandale beach
O7AQ0,saint mark's episcopal school
YO4S4,northwest 5th court
Q0N4C,saint thomas aquinas high school
DIK5I,mamie agnes jones elementary school
V3W0J,baldwin middle senior high school
JTD0B,westview pre-k-8 school
8T6DJ,frank m golson elementary school
BAZKL,lawton chiles middle academy
UGCN0,turner/bartels k-8 school - lower campus
F8GUS,turner/bartels
58DUE,greenville elementary school
0NBTW,starke elementary school
L8J4G,hilliard elementary school
HC2GO,santa fe college
5TR1Z,sun n lake elementary
5CGD6,colson elementry school
IAAZL,lopez elementry school
58J85,triple creek boulevard
UT2KV,beth street
5998I,hill gustat middle school
5ZXRT,avon park high school
N547R,riverview academy of math and science
TU56L,north bay haven charter academy elementary school
2CK2D,south florida state college
1EHYQ,cracker trail elementary school
I3GFV,avon elementary school
1K33O,woodlawn elementary school
FMI1T,sebring high school
9845B,memorial elementary school
W0LES,park elementary school
LQVTZ,fred wild elementary school
BO0KM,kindergarten learning center
MIZFU,lake placid high school
G72PC,lake country elementary school
A9UZU,imagine schools at west melbourne
UBB83,longleaf elementary school
0OSCY,howard w. blake high school
G2M3H,cypress woods elementary school
TFYI0,children's academy
UULCR,7th street
HMH1V,manatee high school
OSGQI,8th street
LNBL0,baker county high school
FLI5H,westside elementary school
3JMZM,poplar springs school
L79H7,moss hill road
V07SU,moss hill road
PCN7F,riviera elementary school
JHKA2,fishweir school
SNKXY,blountstown elementary school
NRV0U,providence christian school
Z14PD,winthrop charter school
