id_centros_entretenimiento,centros_entretenimiento
PE2FG,Sand Lake Road
4GWUK,Maud Street
FVMDF,Maud Street
63VZZ,Maud Street
YAJXH,University Village Shops
P7CLY,Aventura Mall
7FFHB,Wekiwa Springs Road
D2DAO,Westshore Plaza Mall
G7W0X,Orlando Avenue
6EI2G,Orlando Avenue
STBZA,Webster Avenue
ARAZM,Orlando Avenue
EW4OV,Orlando Avenue
SH7JR,Orlando Avenue
17IEB,Beachview Avenue
B7KEW,Southwest 135th Terrace
CXIS0,Southwest 135th Terrace
R7RNG,Town Square Center
D7CZY,Hudson
TMRLP,Kingston Drive East
LY9OM,Kingston Drive East
8VMEM,Village Square Shopping Center
4E5KK,Homestead Station
3K4KS,The Lighthouse Shoppes
S67X2,South Valrico Road
CAWIY,Mirror Terrace Northwest
B8TOC,Freeway Insurance
PHAJX,KWIK Tax Refund
A84DY,Southeast Plaza
PJ448,Brickell Smoke Shop
TIGRW,Publix
TCOPG,Federal Highway
J845M,Post Avenue Southwest
FLDWI,Avenue O Southwest
9RM9E,Grove Avenue
XI9SZ,17th Street
JVSDM,Ocooee Plaza
5UDR4,McDonald Terrace
OYXBR,Poinsettia Drive
XRPI1,East Edgewood Drive
PF6WP,Reynolds Street
55TAS,Palm Beach Boulevard
R9O02,Palm Beach Boulevard
069Z3,Palm Beach Boulevard
74PRR,Palm Beach Boulevard
BW10H,Pierre Lane
O5SFT,Market Square
WHRVS,North Parsons Plaza
05LO1,ALDI
LMIQJ,Brooks Street
J5BG6,Publix
Q4AYZ,ALDI
S28U8,Mason Avenue
TEQ70,Crystal River Mall
ER09K,8th Avenue Drive West
1BB3E,39th Street West
2RQPL,Bayou Plaza
RRT29,SoMo Walls
XPONH,Foot Solutions
ZKD1K,Alpine Center
BKO6D,Florida Keys Outlet Center
NW3QD,American Eagle Outfitters
MPE4F,Southwest 58th Avenue
VN4M5,Dyer Boulevard
JIHI5,Sand Lake Road
75TZC,Sand Lake Road
JS508,300
UNL7A,Peachland Boulevard
6RXSH,Quesada Avenue
RH7DL,Heritage Plaza
OJXJJ,Tamiami Trail
350EV,International Plaza and Bay Street
YJ5BU,Tour Boat Boarding
B3JZ0,Titusville Mall
VD1UG,Landmark Shopping Center
KAIFZ,LandMark Plaza
153TD,Lakeview Shopping Center
M51GI,Carrollwood Commons
AP74E,Manatee County
QAQ6Q,CocoWalk
N870L,RK Village Plaza - Raanan Katz Shopping Center
QKV01,Shoppes at 104
DK8T8,Bird Galloway Center
C05HR,Centro Comercial Managua
6Q7TA,Legacy Place
MT8XU,Northlake Promenade Shoppes
NETB0,Market Street At Heath Brook
RV0ON,Palm Beach Outlet
BKVF4,Tin City
3DPZN,Orlando International Premium Outlet
IL733,European Village
LMK61,The Grove Shoppes
AZPFU,The UPS Store #6657
AKJPT,Anchor Shops & Parking
GRIL1,Homestead Towne Square
VXWXW,Miami Design District
2EGBB,Lincoln Center
F72L8,Wellington Mall
Q59S0,Shout Supermarket
N99C1,Chiefland Regional Shopping Center
NVQTH,Upper Buena Vista
82BIC,ONE DAYTONA
PQZOD,Thrift Life
T4JNV,Natural Food Market Place
M5Z6P,The Village at Hunter's Lake
M1J2B,Fashion Square Mall
4AGCS,Plaza 800
OX57A,Shoppes of Winder Oaks
0201Q,Concorde Plaza
F68ZP,Southgate Shopping Center
BLG4K,Glengary Shoppes
HGA5L,Crestwood Square
FU7YK,Middleton Downtown
2D4OU,Shoppes at Paradise Pointe
CUZG2,Perry Plaza
JQ2GK,Sparkman Wharf
6R1W2,University Mall
LTMZX,DeSoto Square Mall
D7BYO,Brandon Town Center Drive
4WLHZ,Winn-Dixie
D43SA,Lakeview Plaza
MLLPQ,Rutland Plaza
77PTA,Dezerland Park Orlando
8UW1Q,The Mall at Millenia
G5BVB,Old Boynton Road
P180T,Old Boynton Road
GHUYQ,The Mall at Wellington Green
JZMRG,Miami International Mall
ZS47T,Treasure Coast Square Mall
HAULU,Aleena Diamonds
DP4NY,Westfield Citrus Park
1AGFF,West Village Drive
TBO6Q,Kings Highway
GFV0P,CMX Dolphin 19 & IMAX
B3TFJ,The Shops at Wiregrass
VLS1N,East Towne Center
0RSSV,The Gardens Mall
SUEY6,Lakeland Square Mall
CA8PK,The Florida Mall
WXRP7,Mobilezone
P6PDN,Sweets Plaza
5R8IC,Publix
726GW,Banana Republic
VOR1N,Publix
QSNEL,Lakeshore Mall
EXKLF,Shopping Plaza
OUOJ9,Shopping Plaza
HHK01,Shopping Plaza
TP1LT,Aventura Mall
FLPEM,9180
VHCQF,Titusville Mall
50ZWT,The Oaks Mall
4UXB4,Live Oak Avenue
AGLOQ,US 27
2FE45,Tyrone Square Mall
FYBNW,Lake Square Mall
X115B,Port Charlotte Town Center
3514F,Pinellas Park Square
6VUJ0,Mill Creek Mall
WHGSM,Mama Rosa's
CY3TJ,Merritt Square Mall
79MWB,Belk
K70HF,I 75
9I6T2,Factory Shops Boulevard
9Y8YI,Factory Shops Boulevard
8QUG6,I 75
Q0KHH,I 75
OB5N8,Factory Shops Boulevard
8ZZ5U,Southwest 139th Avenue
JWHB8,Seminole Mall
500SC,Countryside Mall
8WB45,Avecina Urgent Care Clinic
46Y5X,Argyle Family Dentistry
K72XG,Merchants Gate Drive
EAKN6,Endless Tan
42JVJ,Merchants Gate Drive
XAVH9,Crosshill Blvd
CC263,Argyle Forest Boulevard
GSQIW,GNC
7P78O,Barber Shop
4XO07,Crosshill Blvd
YAKTZ,Old Middleburg Road South
SVREE,Merchants Gate Drive
Y1VZQ,Justice
OAAAV,Crosshill Blvd
30Z1Z,Crosshill Blvd
5Y7UR,Crosshill Blvd
93A0I,Crosshill Blvd
DEPPJ,Dollar Tree
YPNHP,Superior Plaza
FIU1H,9680
198LW,US 98;US 319
AXIWJ,Bal Harbour Shops
L0FJ8,Seminole Towne Center
3ZIZX,Heritage Walk
LWTQH,Saint George's Row
7OAZB,Wellington Mall
DCD1F,Grande Boulevard
R71QD,Eagle Ridge Drive
UC8JM,Worth Avenue
CNUWU,Worth Avenue
HPCHT,Goodyear Auto Service Center
V3XWX,Thacker Avenue
W3PF4,Argyle Forest Boulevard
S6TM2,Santa Rosa Mall
AY49Y,Avenue G Southwest
0W4VS,Mall of the Americas
20QO7,Hunters Oak Drive
255SM,Promenade Square Drive
8VPPT,Hammocks Boulevard
HQRGX,Southwest 169th Court
LH2W6,14790
DU774,Kendale Lakes Plaza
4U7ZI,Higate Square
XG7N4,Great Clips TJ Maxx Plaza
1HDE0,Southwest 59th Street
0QZ0J,Southwest 42nd Street
3L7YE,Panda Express
GXXD8,Southwest 134th Avenue
5HORG,Winn-Dixie
Q83UT,Skylake Mall
7R4U2,Bed Bath & Beyond
HUWXH,Northeast 163rd Street
IUJB3,9045
2LG8D,13565
4KBR5,Grand Regency Boulevard
JRPVK,Grand Regency Boulevard
K7US8,Shops at Merrick Park
UD8Y3,10063-1 Baymeadows Ap
96GRW,Mattress Firm
7Z1LW,Steele Street
BVTE9,Spencer Drive
9KXK6,3913
AHZYW,Publix
SWIY5,Palm Drive
O6OSS,South Tamiami Trail
08USD,Sarasota Square Mall
JME5T,Bliss Salon
K5YJ4,Clark Road
9Z1R4,Auburn Court
458N1,South Lockwood Ridge Road
AM3B1,Landings Boulevard
2OF7B,Versailles Street
HC2C5,Westfield Siesta Key
2CTAP,Fruitville Road
LKFWO,East Hillsborough Avenue
POV73,Hillsboro Plaza
VU651,Thonotosassa Road
5M3OG,Sleepy Hill Road
S444C,Sharon Drive
5USAZ,Maple Street
JUP5T,Plantation Square
I9QVB,dd's Discounts
EK4MQ,Armstrong Boulevard
LQ6MA,East Vine Street
ULO6W,Bronson Highway
PNNCY,Bronson Highway
AO7RJ,Westgate Plaza
64E83,US 98
8KM3A,US 27
SA1PE,Woodstock Drive
VVUAR,Southchase Village
4C9E7,Shoppes of Oakbrook
TL3YZ,Bluffs Square Shoppes
VFBRO,Sabal Palm Shopping Center
EZKTB,Collier Boulevard
WBE84,324
6IQE8,Shopping Center Drive
PKGB5,I 95
FL4Y6,Colonial Promenade
8UJXO,Town Center at Boca Raton
31M33,Mall at University Town Center
C7W35,Paragon Ocean Walk 10
MRCS9,Colony Square Drive
UNBU4,Colony Boulevard
64NB9,Philips Highway
4YONI,Volusia Mall
JU78O,Broadway's
LUSKT,415
99ZQ2,Hopewell Avenue
QON18,East Alexander Street
09JR9,James L Redman Parkway
IUFPW,East Alexander Street
VBFTJ,James L Redman Parkway
PHD01,Today's Male
UC8G9,Sunset Harbour Shops
F7R7K,James L Redman Parkway
TFJYU,Southwest 89th Lane
7YL3Z,Gulf View Square Mall
P0IAL,Cordova Mall
G74VX,Bartow Shopping Center
8CJCX,Century 21
HBEHR,Brandon Center
26BV3,Clayton Mall
WLY3P,West Langford Drive
UTLJR,Tampa Premium Outlets
WS7XK,Okeechobee Boulevard
I97VK,Westland Mall
EHDYL,Ultramont Mall
73U8O,B&B Joint
GQZ4H,West 1st Avenue
644K7,Uleta Plaza
Y4XE8,Lincoln Road Mall
B0TM4,Canton Avenue
91D89,430
U8EM1,Indian River Mall
KOKVE,Southwest 91st Court
DOBCD,Southwest 136th Street
AQYGT,Southwest 135th Terrace
HG234,Sunshine Park Mall
ZKE14,Centre of Tallahassee
D6T55,Altamonte Mall
01VTC,Palm Plaza
9HJ66,Tommy Hilfiger
O51ST,Mattress Firm
48I8G,Southwest 120th Street
25RLP,TJ Max
K4JX1,Community Drive
I4OGH,Old Military Trail
SJBP0,South Chillingworth Drive
FUPN1,Frank Street
ETEG6,The Big Apple Shopping Bazaar
EZTL0,Indian Rocks Road
8UPB4,Murdock Plaza
32RPR,Quesada Avenue
LENUE,5th Street Southwest
FEVER,Governor's Square Mall
X3QFV,West Griflow Street
9738A,3878
8ACWP,East Fowler Avenue
K9X5P,Providence Road
HAZJ0,Tamiami Trail South
NG97N,Immokalee Road
ZTRZB,International Plaza and Bay Street
7EUFV,International Plaza
SUTMD,Corkscrew Village Lane
CWZ8Y,West Terry Street
FE5E8,93rd Avenue North
QRG6J,94th Avenue North
Q1OG5,Lake City Mall
L2NIN,Publix Liquors
1O3XJ,Lake Gray Boulevard
9JHTD,Lake Gray Boulevard
QB999,26th Street West
59ZOV,Lee's Alterations
5KLHF,Legendary Drive
7KAHD,Forsyth Road
8ICJK,Iglesia Cristiana lel Rebano
LKPLA,West Lancaster Road
CF57G,Pino Gelato Cafe
UCZHE,Patrol Road
WS99W,Plaza del Sol
WBN8W,Sevilla Plaza
EY9K2,Sand Lake Road
BX6PX,Sand Lake Road
ZANRZ,Sand Lake Road
EBMU0,Sand Lake Road
Y63KU,Sand Lake Road
6T1W5,Terrance Florida Mall
A0MCQ,American Signature
1KLKP,Maud Street
3ENSV,Maud Street
GYZR6,Maud Street
7ORWC,University Village Shops
3S7SZ,Aventura Mall
W87CR,Wekiwa Springs Road
OVMCD,Westshore Plaza Mall
DOZ9Y,Orlando Avenue
YKY4H,Orlando Avenue
PXT7U,Webster Avenue
EFGH0,Orlando Avenue
R3A91,Orlando Avenue
COM1R,Orlando Avenue
3NUWI,Beachview Avenue
XIPKX,Southwest 135th Terrace
52SM2,Southwest 135th Terrace
FRQ76,Town Square Center
NAOW2,Hudson
C1ZHW,Kingston Drive East
8QU43,Kingston Drive East
G5DMQ,Village Square Shopping Center
DTUR5,Homestead Station
FFO58,The Lighthouse Shoppes
WUKP2,South Valrico Road
M78BA,Mirror Terrace Northwest
XURU0,Freeway Insurance
NBXW5,KWIK Tax Refund
XQBFA,Southeast Plaza
HCYVS,Brickell Smoke Shop
YNVW8,Publix
9M5J3,Federal Highway
MIAE8,Post Avenue Southwest
LH6CE,Avenue O Southwest
C2H4Z,Grove Avenue
NICJU,17th Street
2UG4F,Ocooee Plaza
UQO83,McDonald Terrace
OCJDL,Poinsettia Drive
9JFYZ,East Edgewood Drive
BMLHV,Reynolds Street
7X7EC,Palm Beach Boulevard
PA2CS,Palm Beach Boulevard
MCK9C,Palm Beach Boulevard
8MGIS,Palm Beach Boulevard
V1N0N,Pierre Lane
LHPKX,Market Square
89PUQ,North Parsons Plaza
JOBMJ,ALDI
ESXSX,Brooks Street
9XYGX,Publix
85GJX,ALDI
Z9T5U,Mason Avenue
RX6IT,Crystal River Mall
DKONG,8th Avenue Drive West
2XTCR,39th Street West
KXNKV,Bayou Plaza
4BXVN,SoMo Walls
QPA32,Foot Solutions
NTIEG,Alpine Center
I4DAG,Florida Keys Outlet Center
QB0S8,American Eagle Outfitters
VRTM8,Southwest 58th Avenue
6ERAA,Dyer Boulevard
DICF6,Sand Lake Road
M8I2N,Sand Lake Road
H3MYG,300
D14FR,Peachland Boulevard
KHPUO,Quesada Avenue
J3RBX,Heritage Plaza
N1KY4,Tamiami Trail
QG4P0,International Plaza and Bay Street
SYPY5,Tour Boat Boarding
4WGL3,Titusville Mall
J2LPJ,Landmark Shopping Center
H7O83,LandMark Plaza
V6SOD,Lakeview Shopping Center
PSWJZ,Carrollwood Commons
D5VFQ,Manatee County
OM50W,CocoWalk
YICSY,RK Village Plaza - Raanan Katz Shopping Center
MCLYF,Shoppes at 104
R9YZD,Bird Galloway Center
LDZ7V,Centro Comercial Managua
YPBWZ,Legacy Place
BNUCC,Northlake Promenade Shoppes
CZ01F,Market Street At Heath Brook
9W9II,Palm Beach Outlet
HPF4N,Tin City
HAAEG,Orlando International Premium Outlet
H5A2Y,European Village
XOO2N,The Grove Shoppes
NL57N,The UPS Store #6657
KP1FY,Anchor Shops & Parking
WFDH8,Homestead Towne Square
7GIQ2,Miami Design District
UJ20X,Lincoln Center
FOUZJ,Wellington Mall
93AQU,Shout Supermarket
L8FIP,Chiefland Regional Shopping Center
Q5QPJ,Upper Buena Vista
IJ7QZ,ONE DAYTONA
EVI2K,Thrift Life
MNV90,Natural Food Market Place
F71CV,The Village at Hunter's Lake
Y080S,Fashion Square Mall
2FIG1,Plaza 800
NZ0R5,Shoppes of Winder Oaks
C81RD,Concorde Plaza
TBF8X,Southgate Shopping Center
F2MOK,Glengary Shoppes
INAUF,Crestwood Square
9DATB,Middleton Downtown
F5WQG,Shoppes at Paradise Pointe
RBWLO,Perry Plaza
JCNZ4,Sparkman Wharf
96VE9,University Mall
MOGHF,DeSoto Square Mall
WS6WJ,Brandon Town Center Drive
FYH7B,Winn-Dixie
E9JKH,Lakeview Plaza
3DF2H,Rutland Plaza
3AWPU,Dezerland Park Orlando
J6QP0,The Mall at Millenia
9B162,Old Boynton Road
090LV,Old Boynton Road
HTGGT,The Mall at Wellington Green
QTP62,Miami International Mall
U2OG8,Treasure Coast Square Mall
Z4V9X,Aleena Diamonds
EEFHQ,Westfield Citrus Park
A33WX,West Village Drive
18N8F,Kings Highway
28UC3,CMX Dolphin 19 & IMAX
B3VNT,The Shops at Wiregrass
VWK0Z,East Towne Center
I4FSW,The Gardens Mall
ZH0GA,Lakeland Square Mall
070HB,The Florida Mall
90CDT,Mobilezone
1PPW2,Sweets Plaza
X9HB0,Publix
3MXAO,Banana Republic
DJYLS,Publix
PVRLW,Lakeshore Mall
459W7,Shopping Plaza
LHLQI,Shopping Plaza
RG4TR,Shopping Plaza
23WOM,Aventura Mall
ISXYH,9180
6JUPA,Titusville Mall
TCZVF,The Oaks Mall
AIEAI,Live Oak Avenue
DNFHM,US 27
4RYRK,Tyrone Square Mall
E19KN,Lake Square Mall
OK1LB,Port Charlotte Town Center
4PZDX,Pinellas Park Square
8XNUG,Mill Creek Mall
36LAV,Mama Rosa's
F0KQ0,Merritt Square Mall
M7QAP,Belk
5YRUZ,I 75
SD9AJ,Factory Shops Boulevard
9X29S,Factory Shops Boulevard
7MH8U,I 75
GN0QA,I 75
BIOFQ,Factory Shops Boulevard
LVPCD,Southwest 139th Avenue
6SAGB,Seminole Mall
H4BS0,Countryside Mall
4L9JO,Avecina Urgent Care Clinic
GDFYL,Argyle Family Dentistry
QMIFB,Merchants Gate Drive
EE421,Endless Tan
LZHG8,Merchants Gate Drive
R6PBG,Crosshill Blvd
YWUO3,Argyle Forest Boulevard
LXRHX,GNC
6KWS5,Barber Shop
26DHO,Crosshill Blvd
L255A,Old Middleburg Road South
2YCNC,Merchants Gate Drive
LAX9L,Justice
BAW54,Crosshill Blvd
BQ95Q,Crosshill Blvd
OR9PL,Crosshill Blvd
5HM4P,Crosshill Blvd
O39I1,Dollar Tree
3GMKA,Superior Plaza
ARX65,9680
11XUX,US 98;US 319
V9BEH,Bal Harbour Shops
6NGJD,Seminole Towne Center
5AA3H,Heritage Walk
LYQDU,Saint George's Row
DC0RW,Wellington Mall
G55H3,Grande Boulevard
R5ZO8,Eagle Ridge Drive
Q570X,Worth Avenue
Z6Y2K,Worth Avenue
YD3RG,Goodyear Auto Service Center
OCFEY,Thacker Avenue
V01VO,Argyle Forest Boulevard
ZBNWA,Santa Rosa Mall
WBHXT,Avenue G Southwest
HI0AM,Mall of the Americas
WWGR7,Hunters Oak Drive
ZZ1DC,Promenade Square Drive
A5DI3,Hammocks Boulevard
L3QZA,Southwest 169th Court
V5P51,14790
YKIKZ,Kendale Lakes Plaza
STZK8,Higate Square
4KD4J,Great Clips TJ Maxx Plaza
1X09X,Southwest 59th Street
G9BSQ,Southwest 42nd Street
B85IJ,Panda Express
6XHGC,Southwest 134th Avenue
GLYVX,Winn-Dixie
JB1HC,Skylake Mall
WLYK1,Champion Plaza
T0GDD,Northeast 163rd Street
V1XOV,9045
PTFO5,13565
JJQB3,Grand Regency Boulevard
ZM9MF,Grand Regency Boulevard
D0LJA,Shops at Merrick Park
XBORR,10063-1 Baymeadows Ap
Q429D,Mattress Firm
1QVBD,Steele Street
QL8Q8,Spencer Drive
RZF0S,3913
LZ68W,Publix
OS3E4,Palm Drive
KVYWO,South Tamiami Trail
6G5GG,Sarasota Square Mall
FWDY3,Bliss Salon
5J7ZB,Clark Road
36NUP,Auburn Court
AJPVS,South Lockwood Ridge Road
0TN9V,Landings Boulevard
PRUPM,Versailles Street
DVUNJ,Westfield Siesta Key
TBKPW,Fruitville Road
7MAYC,East Hillsborough Avenue
NJVH1,Hillsboro Plaza
JFUVQ,Thonotosassa Road
PW1WR,Sleepy Hill Road
11INJ,Sharon Drive
5C719,Maple Street
HHR6O,Plantation Square
70RGH,dd's Discounts
CAE1S,Armstrong Boulevard
89NZ9,East Vine Street
Y07BR,Bronson Highway
Y658T,Bronson Highway
QMX23,Westgate Plaza
MNY75,US 98
EPN24,US 27
GP3QR,Woodstock Drive
47MTC,Southchase Village
3QL3B,Shoppes of Oakbrook
WLW6F,Bluffs Square Shoppes
VDGKO,Sabal Palm Shopping Center
T0O76,Collier Boulevard
XD904,324
RKZN4,Shopping Center Drive
6ZVZF,I 95
WNPBO,Colonial Promenade
ABSEQ,Town Center at Boca Raton
DB7S6,Mall at University Town Center
AETSU,Paragon Ocean Walk 10
F8Y01,Colony Square Drive
RMM5S,Colony Boulevard
IBKTY,Philips Highway
EWZCS,Volusia Mall
PQ7JG,Broadway's
8EIX8,415
T4ZV1,Hopewell Avenue
KPN0O,East Alexander Street
YOMRH,James L Redman Parkway
F4DUL,East Alexander Street
76U56,James L Redman Parkway
0XIJ6,Today's Male
1HTN8,Sunset Harbour Shops
WLMHI,James L Redman Parkway
55S6E,Southwest 89th Lane
XHH19,Gulf View Square Mall
28I6X,Cordova Mall
62Z5G,Bartow Shopping Center
C9S33,Century 21
A4OIP,Brandon Center
31YW5,Clayton Mall
APPD1,West Langford Drive
GIJ7X,Tampa Premium Outlets
4UKXL,Okeechobee Boulevard
HFU4U,Westland Mall
V2MUJ,Ultramont Mall
HN6HY,B&B Joint
58K9F,West 1st Avenue
8M302,Uleta Plaza
1LNGN,Lincoln Road Mall
0P9ZA,Canton Avenue
G4MWJ,430
WE50Z,Indian River Mall
U9E3G,Southwest 91st Court
E0E2W,Southwest 136th Street
HB9X9,Southwest 135th Terrace
GWJBO,Sunshine Park Mall
I098Q,Centre of Tallahassee
ZQTEK,Altamonte Mall
J2VA5,Palm Plaza
844XB,Tommy Hilfiger
CJH7V,Mattress Firm
IHYP2,Southwest 120th Street
D9QGX,TJ Max
962T8,Community Drive
R3UIZ,Old Military Trail
T6M79,South Chillingworth Drive
TPR5F,Frank Street
T53HY,The Big Apple Shopping Bazaar
OUFAR,Indian Rocks Road
NBTPW,Murdock Plaza
7G9KO,Quesada Avenue
SSY1E,5th Street Southwest
X966V,Governor's Square Mall
S91EY,West Griflow Street
SEKJI,3878
FDW5C,East Fowler Avenue
7GBL1,Providence Road
RY2DL,Tamiami Trail South
TRTAE,Immokalee Road
Z28NU,International Plaza and Bay Street
HU3H0,International Plaza
EN50B,Corkscrew Village Lane
KVOOI,West Terry Street
DGCZD,93rd Avenue North
1IRXH,94th Avenue North
6AW6U,Lake City Mall
ZOOI2,Publix Liquors
50LWW,Lake Gray Boulevard
2P81T,Lake Gray Boulevard
I8OJS,26th Street West
MJH9S,Lee's Alterations
7PTW9,Legendary Drive
HMWCQ,Forsyth Road
7YDZV,Iglesia Cristiana lel Rebano
6CLQ1,West Lancaster Road
LNADS,Pino Gelato Cafe
T2O1Y,Patrol Road
97PSO,Plaza del Sol
1TLLQ,Sevilla Plaza
JOYWX,Sand Lake Road
LTEQE,Sand Lake Road
GZ2FF,Sand Lake Road
74QZN,Sand Lake Road
QRDZE,Sand Lake Road
PAOWQ,Terrance Florida Mall
KF0VY,American Signature
PDYJQ,Maud Street
KAN0S,Maud Street
VO4B7,Maud Street
BF1FU,University Village Shops
R4GRN,Aventura Mall
90VRU,Wekiwa Springs Road
SZFVK,Westshore Plaza Mall
J6E3C,Orlando Avenue
5CBBQ,Orlando Avenue
YAP64,Webster Avenue
4V57U,Orlando Avenue
1WBD1,Orlando Avenue
L7DDC,Orlando Avenue
6LUR9,Beachview Avenue
YZA9D,Southwest 135th Terrace
W3YUW,Southwest 135th Terrace
E5C6E,Town Square Center
EGWLN,Hudson
JZ7P1,Kingston Drive East
LQYEL,Kingston Drive East
YED3I,Village Square Shopping Center
U9OXM,Homestead Station
CWGIB,The Lighthouse Shoppes
ITJMB,South Valrico Road
EWRQB,Mirror Terrace Northwest
IUDZ9,Freeway Insurance
6WB25,KWIK Tax Refund
VC8JK,Southeast Plaza
G3YQO,Brickell Smoke Shop
VA20G,Publix
78573,Federal Highway
D64FE,Post Avenue Southwest
A7XFI,Avenue O Southwest
38BNA,Grove Avenue
TWK5Y,17th Street
2XWDC,Ocooee Plaza
2XJYV,McDonald Terrace
Y5B3U,Poinsettia Drive
TVDWT,East Edgewood Drive
ACSBC,Reynolds Street
ENRDW,Palm Beach Boulevard
T39DV,Palm Beach Boulevard
BIASZ,Palm Beach Boulevard
CUCK2,Palm Beach Boulevard
LZ9E2,Pierre Lane
ZCRCR,Market Square
681W3,North Parsons Plaza
44YEX,ALDI
J0OQU,Brooks Street
11MSB,Publix
87F1W,ALDI
O9TK7,Mason Avenue
I1TMG,Crystal River Mall
HEZIC,8th Avenue Drive West
1O8CX,39th Street West
WSINM,Bayou Plaza
V8P3Q,SoMo Walls
8BPIA,Foot Solutions
WUWP5,Alpine Center
39TW3,Florida Keys Outlet Center
ODMX7,American Eagle Outfitters
VNA9H,Southwest 58th Avenue
SJ4H0,Dyer Boulevard
508HU,Sand Lake Road
BRMRZ,Sand Lake Road
MCHJM,300
24ZJ3,Peachland Boulevard
4SQJX,Quesada Avenue
PDWIS,Heritage Plaza
4HHKN,Tamiami Trail
IL16B,International Plaza and Bay Street
3V4T5,Tour Boat Boarding
77OVA,Titusville Mall
5DOS5,Landmark Shopping Center
68IB2,LandMark Plaza
NU3LY,Lakeview Shopping Center
X748O,Carrollwood Commons
Y82QJ,Manatee County
9SWKP,CocoWalk
RNGXA,RK Village Plaza - Raanan Katz Shopping Center
KW024,Shoppes at 104
PH8DL,Bird Galloway Center
OQKJL,Centro Comercial Managua
ZBXKQ,Legacy Place
5DY96,Northlake Promenade Shoppes
16RI5,Market Street At Heath Brook
BKHEU,Palm Beach Outlet
PAP1G,Tin City
1ABNQ,Orlando International Premium Outlet
QZ9G1,European Village
7C4KU,The Grove Shoppes
3SIIO,The UPS Store #6657
ZZRQW,Anchor Shops & Parking
V2WBL,Homestead Towne Square
E67SC,Miami Design District
GHQLU,Lincoln Center
IFDTT,Wellington Mall
7MAMK,Shout Supermarket
0155Q,Chiefland Regional Shopping Center
63DKV,Upper Buena Vista
FBQF7,ONE DAYTONA
YHLBQ,Thrift Life
S6ANU,Natural Food Market Place
QWIVD,The Village at Hunter's Lake
ZG23P,Fashion Square Mall
4RZ3D,Plaza 800
ID1PH,Shoppes of Winder Oaks
PIX4I,Concorde Plaza
BNK24,Southgate Shopping Center
XFZ8X,Glengary Shoppes
B0TLV,Crestwood Square
AGNAT,Middleton Downtown
LUY0F,Shoppes at Paradise Pointe
83L4P,Perry Plaza
NSNEW,Sparkman Wharf
8BR3G,University Mall
JODH3,DeSoto Square Mall
9RFL1,Brandon Town Center Drive
3S8P1,Winn-Dixie
0ONKZ,Lakeview Plaza
DNX1E,Rutland Plaza
D0VU7,Dezerland Park Orlando
WETQK,The Mall at Millenia
KPYHC,Old Boynton Road
JXBVK,Old Boynton Road
RBWVI,The Mall at Wellington Green
D6YFL,Miami International Mall
O783L,Treasure Coast Square Mall
MRS3F,Aleena Diamonds
R2KKL,Westfield Citrus Park
56FWZ,West Village Drive
0QD5D,Kings Highway
93LSJ,CMX Dolphin 19 & IMAX
S8CZ9,The Shops at Wiregrass
H5QQP,East Towne Center
AZHHP,The Gardens Mall
S42Z5,Lakeland Square Mall
CN3P8,The Florida Mall
HC4GR,Mobilezone
1VUVS,Sweets Plaza
CM23E,Publix
1RYZI,Banana Republic
FIQDP,Publix
U10XK,Lakeshore Mall
QAJRX,Shopping Plaza
S5YGW,Shopping Plaza
NZ30U,Shopping Plaza
FH1HF,Aventura Mall
0QRLU,9180
W2CX9,Titusville Mall
R88Q5,The Oaks Mall
0MOT1,Live Oak Avenue
JJ46R,US 27
22KC3,Tyrone Square Mall
EQYBY,Lake Square Mall
RP3Z5,Port Charlotte Town Center
QTJE5,Pinellas Park Square
CWFIJ,Mill Creek Mall
HOWWB,Mama Rosa's
RB2B1,Merritt Square Mall
NT9QP,Belk
2588L,I 75
XY1ZI,Factory Shops Boulevard
THCDA,Factory Shops Boulevard
TN5BY,I 75
XD0VR,I 75
OT9L8,Factory Shops Boulevard
ZIDLO,Southwest 139th Avenue
KS4CD,Seminole Mall
3E8WO,Countryside Mall
C7EJ2,Avecina Urgent Care Clinic
U5SPZ,Argyle Family Dentistry
H9RZI,Merchants Gate Drive
3BJEJ,Endless Tan
YQLBI,Merchants Gate Drive
CT6OB,Crosshill Blvd
S1NC9,Argyle Forest Boulevard
EJGVO,GNC
V0QHG,Barber Shop
5GS3G,Crosshill Blvd
NLHI6,Old Middleburg Road South
4EHGO,Merchants Gate Drive
RO6LB,Justice
DWBBO,Crosshill Blvd
1XJLZ,Crosshill Blvd
BP4FW,Crosshill Blvd
H7L8W,Crosshill Blvd
FBW3X,Dollar Tree
RLGVQ,Superior Plaza
756JR,9680
J7VM7,US 98;US 319
K5AO0,Bal Harbour Shops
62F6G,Seminole Towne Center
1JBDC,Heritage Walk
CLAXW,Saint George's Row
YRN5I,Wellington Mall
XYV7N,Grande Boulevard
H3ACL,Eagle Ridge Drive
4TYYJ,Worth Avenue
31Q12,Worth Avenue
K5INR,Goodyear Auto Service Center
6641Y,Thacker Avenue
NKE46,Argyle Forest Boulevard
MXZP2,Santa Rosa Mall
2KMX7,Avenue G Southwest
ORIAV,Mall of the Americas
IK0NX,Hunters Oak Drive
ZE7JQ,Promenade Square Drive
WZD6R,Hammocks Boulevard
TQN2J,Southwest 169th Court
DW2H3,14790
GB33H,Kendale Lakes Plaza
